Hettie|Your first herd|My first cow belonged to my aunt. It followed her everywhere and refused to follow me at all.|How did you persuade it?|I borrowed her coat. By the time the cow noticed, we were friends. The coat never recovered.|A day off|I would like one morning when nobody needs feeding before I do.|Even the hens?|Especially the hens. They have had years to learn where the grain is.
Hallow|The loose hinge|The mountain loosens it every month. I have kept the old screws in a jar as evidence.|Evidence for whom?|The mountain, should it ever agree to discuss compensation.|Your apprenticeship|I learned repairs from a woman who could fix anything except her own spectacles.|Why not those?|She needed them to see what was wrong. I learned early that even clever people need another pair of hands.
Quarrel|The baker's joke|He calls coal-free bread foreign bread. I call his prices a work of fiction.|Are you friends?|We have been having the same argument for twenty years. He leaves my loaf warm at the back.|Something you agree on|Flint says I complain because I enjoy it. I complain because things can be improved.|Everything?|His snoring cannot. I have conducted a thorough investigation.
Flint|Saving the embers|A traveller showed me how to bank the fire beneath a thick layer of ash. I gave him supper for the lesson.|A fair trade?|I have saved wood every winter since. I owe him a rather larger supper.|Living with Quarrel|She spots every loose board before anyone trips on it. People hear the complaint and miss the kindness underneath.|Do you tell her that?|I did once. She said kindness would have fixed the board already.
Winnie|Nan when she was young|Nan could dance until the musicians begged for a rest. She said tired feet were a poor excuse for a bad tune.|She never told me.|Ask her about the midsummer fiddle. Watch how she smiles before she answers.|Your mother|She used to bring me the first flowers she found each spring, dirt and roots still attached.|That sounds like me.|It does. You both believed a flower might miss its home if you cut it too short.
Ned|Mending harness|Leather tells you where it has been pulled too hard. Most breaks announce themselves for weeks.|Do people notice?|Usually after it breaks. Then they ask whether I can mend it yesterday.|An old promise|Your father once helped me carry a cart out of a ditch in pouring rain. Would not take a copper.|Did you repay him?|I mend Nan's straps before she has to ask. A debt can become a habit worth keeping.
Nan Ferrow|Mum's songs|Your mother knew songs for kneading, songs for mending, and one for finding things she had lost.|Did the last one work?|Only because your father heard it and came to help. He pretended he was not already looking.|How we became a family|Your parents died when you were born. I brought you home so small that my whole hand covered your back.|Were you afraid?|Of everything, love. Then you gripped my finger. There was still washing to do and milk to warm, and somebody needed me here.
Joss|Leaving Thornwell|I said I was coming for one winter. Packed one coat and left my good cups with a neighbour.|Will you go back for them?|One day. Though I suspect they have become her good cups by now.|Living with Tam|Tam never asked when I was leaving. Just made a second hook by the door.|Was that enough?|Sometimes a place becomes home because somebody makes room before you ask.
Greta|The sticking door|I know exactly where to lift it. My mother did too. We have both put off mending it for years.|Why?|The scrape tells me someone has come in. Down here, an unexpected silence is worse than a noisy hinge.|A day above ground|I like hanging washing outside. The clothes come back smelling of a place with a sky.|Do you ever stay outside longer?|I sometimes find a second basket that does not strictly need washing.
Osric|Books and danger|I used to read adventures aloud to my brother. He always wanted to be the fellow with the sword.|And you?|The fellow who knew a safe way home. The books never gave him enough lines.|The visitor you remember|A traveller once arrived asking whether our cellar led to a lost kingdom.|Did it?|It led to potatoes. He was disappointed until we cooked some.
Alder|Learning the hives|My first hive stung me whenever I hurried. I blamed the bees for an entire summer.|What changed?|Gwyneth asked whether I liked strangers rushing into my house. I slowed down.|Winter honey|I leave the bees more than the books advise. A bad winter does not read the books.|Does that cost you much?|Less than an empty hive in spring. I prefer to argue with a living colony.
Gwyneth|The unfinished scarf|It began as a scarf for Alder. Then winter grew colder and the scarf grew longer.|Will you ever finish?|Before it reaches the hives, I hope. Otherwise the bees may claim a share.|A chair by the fire|My mother always kept the warmest chair for whoever had just arrived.|Even strangers?|Especially strangers. A familiar face already knows where the blankets are.
Mattock|The sweeping|I can tell which seam my husband worked by the colour of the dust beneath his chair.|Does he believe you?|He tried changing chairs. That was an entertaining evening.|Your own work|I make little clay weights for looms. They need to be plain, even and dependable.|Do you enjoy it?|Very much. A useful thing can have a quiet life and still matter every day.
Kiln|The expensive shelf|That shelf holds every bowl I heated too quickly. I keep them where apprentices can see them.|To warn them?|To show them I am not scolding from a place of perfection. Also to discourage questions about my prices.|A good firing|You wait for hours without knowing whether your work has survived. Opening the kiln still makes my stomach turn.|Every time?|Every time I care about what is inside. I hope that never stops.
Petra|Checking the accounts|A caravan once reported a bridge washed away three days before it rained. Everyone panicked except the bookkeeper.|You?|I asked for the date. The bridge was fine. Their excuse for being late was not.|The story you kept|My mother's letters are full of small details. The price of oranges, a neighbour's new cat.|Why keep all of them?|Because those were her days. Nobody else thought to write them down.
Raff|The shutters|I learned to close them by watching where the sun hit my father's chair. He never owned a clock.|Did he need one?|Only when somebody tried to make him work through the hottest part of the day.|Evening visitors|People become more reasonable after sunset. I save difficult conversations until the walls have cooled.|Does that always work?|No. But at least we can argue without sweating into our tea.
Suri|Double seams|My first bag split on a caravan road. I spent an afternoon collecting lentils from the sand.|Did you manage it?|Not all of them. The ones I missed paid for a lesson I have never forgotten.|Clothes for travelling|A good coat needs room for a second layer and pockets you can reach with cold hands.|What about how it looks?|If it brings you home warm and whole, you will remember it as beautiful.
Tavin|The crowded doorway|My uncle used to leave his pack in the doorway. One summer we all stepped around it for a week after he left.|Was it still there?|No. Habit had become a piece of furniture.|Keeping guests|I put the drinking water where visitors can reach it without asking.|Why not offer it?|Some people are too polite to say they are thirsty. Hospitality ought to work for them too.
Una|Wrapping parcels|My sister moved away with a teacup wrapped in three of my best towels. I said I wanted the towels back.|Did she send them?|One at a time, around things she thought I would like. We have kept the parcel going for years.|The next parcel|I am sending a little packet of seeds. She says nothing grows in her yard.|Do you believe her?|I believe she has not tried these yet. Sisters are allowed to be stubborn on one another's behalf.
Vela|The knot in the rug|My grandmother hid a wrong-coloured knot in every rug. She said only the sky should try to be perfect.|Do you do that too?|I make enough mistakes without planning any. She would probably approve of the efficiency.|The pattern you chose|This border follows the route my family took to reach Sandspire. Every turn stands for a well.|Does anyone recognise it?|My aunt did. She sat down on the rug and began telling stories I had never heard.
Wystan|The second cup|I once agreed to buy six sacks of dates over a very pleasant pot of tea. The bill said sixteen.|Was it a trick?|Perhaps. The dates were excellent, but I learned to write before I drink.|A trader's reputation|A clever bargain feeds you once. A customer who comes back can feed you for years.|Then why do people cheat?|They are very hungry for tomorrow and strangely uninterested in the day after.
Rania|Chairs after sunset|We bring the chairs out when the walls start giving the heat back. The street becomes everybody's sitting room.|Who joins you?|Whoever carries a chair. The children bring boxes and consider themselves properly invited.|Meeting Latif|He offered to help mend a chair and spent the afternoon explaining how he would do it.|Did he mend it?|I did, while he talked. He brought tea the next day. We found our arrangement.
Latif|Accounts in the shade|I learned sums by counting my mother's market change. She paid me in the bruised fruit she could not sell.|Was that good pay?|I had no competing offers and an excellent opinion of bruised peaches.|The evening market|By evening people have told their best stories at least twice. You get a polished version with your supper.|Do you mind that?|Only when they polish the prices too.
Yara|The salt on the hinges|I oil them every week. My father said the sea takes a house apart one little piece at a time.|Can you stop it?|You can keep it busy with the bits you can replace.|Living by the coast|I tried living inland once. Everything was wonderfully dry and I could not sleep.|Why not?|I kept listening for the tide. A place can work its way into your breathing.
Doryn|Reading the gulls|My father taught me to watch the birds before the clouds. Clouds can look dramatic without doing anything.|And the gulls?|If they abandon a good fishing spot, I take the hint. They have more at stake than a damp shirt.|Your temper|Salt in the hinges, rain in the roof, and people telling me the view must be worth it.|Is it?|At sunrise, usually. Do not quote me when I am mending the roof.
Bry|The damp step|I slipped on it carrying a bowl of soup. Saved the bowl, lost the soup, acquired an audience.|Did anybody help?|Coral brought a cloth. Everyone else brought advice. We had enough advice to dry the whole street.|Making a home|We chose this house for the sound of the sea. Nobody mentioned how much of the sea would follow us inside.|Would you move?|No. I would buy a better mat.
Coral|The window lamp|My mother kept a light for my father. I thought it was a signal the whole sea could see.|Is yours a signal?|For one boat. That is a large enough world when you are waiting for it.|The crooked sail|I can mend a sail neatly. My husband prefers a patch he can recognise in bad light.|Do you agree?|I pretend to object. Then I choose thread bright enough for both of us to see.
Edda|Repairing the roof|We saved for a new table, then the roof began leaking. I ate from a crate for another winter.|Were you disappointed?|Yes. Then a storm came, and I ate from a dry crate. It was an excellent table that night.|What comes next|Now I am saving for a chair that does not require a folded rag under one leg.|A small ambition.|A comfortable one. I have learned to respect those.
Fennel|Closing the back door|I lost a whole night's sleep after leaving it open once. Nothing came in except leaves.|Why the worry, then?|Because I could not see beyond the dark. A latch is a little promise you can make yourself.|Growing herbs|I grow fennel because somebody thought naming me after it was very amusing. It seemed rude not to learn the plant.|Do you like it?|More than the joke. It asks less of me and goes well with fish.
Bjorn|The second ladle|My father came home late from hauling timber. If the pot was empty, he said he had eaten already.|Had he?|Usually not. I keep another ladle so nobody has to make that little lie in my house.|A proper broth|You need time more than meat. Bones, roots and a pot that has not forgotten yesterday.|Can a pot remember?|Mine does. It complains whenever I try a new recipe.
Cap|The moss bed|I moved it into the sun once, thinking it would grow faster. It went pale and stopped drinking.|How did you save it?|Put it back and stopped deciding what it ought to want. We get along much better now.|Winter stores|The best store is something still growing. Dried food keeps, but a living bed can feed you again.|Does that take more care?|Of course. So does keeping a friend instead of merely remembering one.
Ilsa|Saving the shoots|My family ate the young shoots one hungry spring. We had full bellies for a day and nothing to gather the next month.|What did you learn?|To keep a little future out of reach of a hungry evening.|Teaching patience|I mark the shoots we must leave with a loop of grass. Children understand a promise better when they can see it.|Do they keep it?|Usually. The adults require more reminders.
Meriel|Selling glass|I broke a display cup on my first day. Sela asked whether I had cut myself before she asked which cup.|Did you stay?|I decided then that I wanted to. A person tells you a great deal by the first question they ask.|Choosing a gift|People describe the recipient and accidentally tell me how much they love them.|How can you tell?|They remember which colour looks warm beside the person's favourite chair. Details like that.
Elin|The stained-glass flower|I came to replace a chipped cup. Then the light caught that flower, and my sensible errand abandoned me.|Will you buy it?|I may. A room can need something lovely without being able to explain the need.|Your own window|My kitchen gets a narrow strip of morning sun. I keep moving the table to catch it.|Would the flower help?|It would turn that strip blue and green. Breakfast could look like a different place.
Maelis|Your first remedy|My first patient was a goose with a broken wing. It bit me every morning until it could fly.|Did it thank you?|It left. Most healers would consider that an excellent outcome.|The stories about you|I am blamed for sour milk, failed courtships and one exceptionally dull wedding.|Did you cause any of them?|I attended the wedding. Even I could not have made it worse. People prefer a witch to an ordinary explanation.
Archivist Elowen|Saving the old books|An official once asked me to remove six names from an account of Wingfall. I asked him which copies he meant.|How many copies were there?|Enough that he left looking tired. The students had very busy hands that winter.|A librarian's work|People imagine I spend my days arranging knowledge. Mostly I help someone admit what they do not yet understand.|Is that difficult?|Only for the ones who believe a question makes them smaller. Children rarely have that trouble.
Mira|The miners' accounts|The official report called it a minor interruption. A miner's letter said they searched until every lamp was empty.|Which do you believe?|The letter. But I keep both, so nobody can say we did not know what was being hidden.|Your own journey|I want to see the places I write about. I have drawn the same mine entrance from four different descriptions.|Are they very different?|In one it faces the sunrise. In another it faces a tavern. I suspect I know which writer was thirstier.
